model,accuracy,macro_f1,weighted_f1,negative_precision,negative_recall,negative_f1,negative_support,neutral_precision,neutral_recall,neutral_f1,neutral_support,positive_precision,positive_recall,positive_f1,positive_support
TF-IDF + Logistic Regression,0.7978142076502732,0.748057116997961,0.8009756590662956,0.8939740655987796,0.8511256354393609,0.8720238095238095,1377,0.6168582375478927,0.6924731182795699,0.6524822695035462,465,0.7107438016528925,0.7288135593220338,0.7196652719665272,354
DistilBERT (fine-tuned),0.7937999060591827,0.7430453966101785,0.8005582225062992,0.9064976228209192,0.8417954378219279,0.8729492560091568,1359,0.5472,0.7755102040816326,0.6416510318949343,441,0.8429752066115702,0.6200607902735562,0.7145359019264448,329
TF-IDF + ANN,0.7928051001821493,0.7416268636571396,0.7979541357236107,0.908235294117647,0.840958605664488,0.8733031674208145,1377,0.5913200723327305,0.7032258064516129,0.6424361493123772,465,0.6956521739130435,0.7231638418079096,0.7091412742382271,354
Word2Vec + BiLSTM,0.77367941712204,0.7289140756020097,0.7821939184467112,0.9068627450980392,0.8061002178649237,0.8535178777393311,1377,0.5346097201767305,0.7806451612903226,0.6346153846153846,465,0.7713310580204779,0.6384180790960452,0.6986089644513137,354
Word2Vec + CNN,0.7773224043715847,0.728676401591219,0.7834991073265978,0.9001597444089456,0.8184458968772694,0.8573602130087485,1377,0.5704225352112676,0.6967741935483871,0.6272991287512101,465,0.6808510638297872,0.7231638418079096,0.7013698630136986,354
Word2Vec + BiLSTM Attention,0.7686703096539163,0.726906002164062,0.7778966476133513,0.9191489361702128,0.7843137254901961,0.8463949843260188,1377,0.5506329113924051,0.7483870967741936,0.6344576116681859,465,0.6683804627249358,0.7344632768361582,0.6998654104979811,354
